Product,N,P,K,Ca,Mg,S,Fe,Cu,Mn,B,Zn,Weight in lbs,Cost / Bag,Cost / 1 lb N,SGN,Product Link,Label,Sources,Urea Nitrogen,Ammoniacal Nitrogen,Water Insoluble Nitrogen,Other water Soluble,Slowly Available From
Spring Valley - 22-0-6 Fertilizer 100% Regain NN Lite Topcut 1%Fe - 50 LB BAG,22.00%,0.00%,6.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,50,$28.84 ,$2.62 ,,https://www.reinders.com/products/sv2036970/,https://assetcloud01.roccommerce.net/files/_reinders/10/8/4/sv2036970-label.pdf,"Bio-solids, Muriate of Potash, Urea",22*,,,,*stabilized with Agrotain® stabilizer
Spring Valley - 30-0-10 50% XCU MOP STD - 50 LB Bag,30.00%,0.00%,10.00%,0.00%,0.00%,1.39%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$36.09 ,$2.41 ,,https://www.reinders.com/products/spring-valley-30-0-10-50-xcu-mop-std-50-lb-bag/,https://assetcloud01.roccommerce.net/files/_reinders/9/5/4/sv2050700-label.pdf,"Muriate of Potash, Polymer-coated Sulfur-coated Urea, and Urea",30*,,,,"*15.00% Slowly Available from Polymer-Coated, Sulfur-Coated Ure"
Spring Valley - 21-0-11 Top Cut Fertilizer - SGN 150 - 50 LB BAG,21.00%,0.00%,11.00%,0.00%,0.00%,3.74%,1.13%,0.00%,0.00%,0.00%,0.00%,50,$53.48 ,$5.09 ,150,https://www.reinders.com/products/sv2033778/,http://www.springvalleyusa.com/sites/default/files/label/2033800.pdf,"Bio-solids, Sulfate of Potash, Methylene Ureas.",2.9,0.17,0.17,9.65*,*Methylenediurea and Dimethylenetriurea
Spring Valley - 25-0-4 75% REGAIN - 50 LB Bag,25.00%,0.00%,4.00%,0.00%,0.00%,2.99%,0.20%,0.00%,0.00%,0.00%,0.00%,50,$27.97 ,$2.24 ,,https://www.reinders.com/products/spring-valley-25-0-4-75-regain-50-lb-bag/,https://assetcloud01.roccommerce.net/files/_reinders/8/5/4/sv2088654-label.pdf,"Bio-solids, Ammonium Sulfate, Muriate of Potash, and Urea",22.11*,2.5,2.5,0.07,*18.75% stabilized with N-(nButyl)thiophosphoric triamide
Spring Valley - 27-0-5 Regain Fertilizer - 50 LB BAG,27.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,50,$33.72 ,$2.50 ,230,https://www.reinders.com/products/sv2047270/,http://www.springvalleyusa.com/sites/default/files/pdf/L2047275%20Standard%20SGN.pdf,"Muriate of Potash, Urea, Iron Oxide, and Ferrous Sulfate",27*,,,,*stabilized with AGROTAIN® stabilizer
EC Grow - 15-0-30 50%MU SOP Micros - SGN90 - 50 LB BAG,15.00%,0.00%,30.00%,0.00%,0.00%,10.10%,0.13%,0.06%,0.06%,0.03%,0.06%,50,$65.23 ,$8.70 ,90,https://www.reinders.com/products/545-9020/,https://ecgrowproturf.com/wp-content/uploads/2019/04/545-9020.pdf,"Urea, Methylene Urea, Sulfate of Potash, Sodium Borate, Copper Oxide, Copper Sulfate, Iron Oxide, Iron Sulfate, Manganese Oxide, Manganese Sulfate, Zinc Oxide and Zinc Sulfate. Sulfur from SOP",8.2,,,3.2*,*Methylene Ureas
EC Grow - 14-0-24 65%MU SOP 5%MN 2%FE Mini - SGN150 - 50 LB BAG,14.00%,0.00%,24.00%,0.00%,0.00%,0.00%,2.00%,0.00%,4.90%,0.00%,0.00%,50,$54.89 ,$7.84 ,150,https://www.reinders.com/products/rp14-0-24/,https://assetcloud01.roccommerce.net/files/_reinders/6/5/6/rp14-0-24-label.pdf,"Urea, Methylene Urea, Sulfate of Potash, Iron sucrate, and Manganese sucrate",6.3,,,4.8*,*Methylene Ureas
Spring Valley - 22-0-5 Regain N-Lite Fertilizer - SGN 150 - 50 LB BAG,22.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$43.13 ,$3.92 ,150,https://www.reinders.com/products/sv2017578/,?,?,?,,,,
Lebanon - 20-0-10 Country Club 60% MESA 100% EXPO - SGN 150 - 50 LB BAG,22.00%,0.00%,10.00%,0.00%,0.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$46.97 ,$4.27 ,150,https://www.reinders.com/products/lebanon-20-0-10-country-club-60-mesa-100-expo-sgn-150-50-lb-bag/,https://www.lebanonturf.com/labels/2237116.pdf,"Methylene Urea, potassium sulfate, ammonium sulfate",2.5,2.3,2.3,9.6*,*Methylene Ureas
Lebanon - 27-0-5 Country Club Fertilizer with Meth-Ex - SGN 145 - 50 LB BAG,27.00%,0.00%,5.00%,0.00%,0.00%,11.20%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$43.60 ,$3.23 ,145,https://www.reinders.com/products/lb2135763/,https://www.lebanonturf.com/labels/2135763.pdf,"Ammonium Sulfate, Methylene Ureas, Urea, Sulfate of Potash",1.5,8.2,8.2,11*,*Methylene Ureas
